Symbol,Market Cap (M),Sector,Use Case,Sub Use Case,Tech Stack,Sub Tech Stack,Tertiary Tech Stack,Ecosystem,Region,Custodies,CoinGecko ID,CoinGecko Symbol,CoinGecko Name,CoinMarketCap ID,CoinMarketCap Symbol,CoinMarketCap Name,CoinMarketCap Slug,CoinMetrics ID,CoinMetrics Name
ALICE,10438100,"Media, Arts & Entertainment",Gaming,Games,Application,,,,,Coinbase Custody; Anchorage Digital; BitGo Custody,my-neighbor-alice,alice,My Neighbor Alice,8766,ALICE,MyNeighborAlice,myneighboralice,alice,My Neighbor Alice
ZKJ,10432753,Blockchain Utilities & Tools,Interoperability,,Application,,,,,Coinbase Custody,polyhedra-network,zkj,Polyhedra Network,29779,ZKJ,Polyhedra Network,polyhedra-network,zkj,Polyhedra Network
OXT,10417527,Decentralized Physical Infrastructure,Virtual Private Network,,Application,,,,,Coinbase Custody; BitGo Custody; Gemini Custody,orchid-protocol,oxt,Orchid Protocol,5026,OXT,Orchid,orchid,oxt,Orchid
FORT,10346852,Blockchain Utilities & Tools,Data & Analytics Providers,Risk Detection Data Providers,Application,,,,,Anchorage Digital; Coinbase Custody,forta,fort,Forta,20622,FORT,Forta,forta,fort,Forta
APU,10279238,Meme,,,Application,,,Ethereum,,,apu-s-club,apu,Apu Apustaja,30008,APU,Apu Apustaja,apu-apustaja,apu,Apu Apustaja
ANDY,10225394,Meme,,,Application,,,Ethereum,,,andy-the-wisguy,andy,ANDY ETH,29879,ANDY,ANDY (ETH),boysclubandy,andy_eth,ANDY on Ethereum
BOBA,10195339,General Purpose Blockchain Networks,Smart Contract Platforms,,Blockchain Network,Layer 2,Optimistic Rollup,,,Anchorage Digital; Coinbase Custody; BitGo Custody,boba-network,boba,Boba Network,14556,BOBA,Boba Network,boba-network,boba,Boba Network
BAL,10036843,Decentralized Finance,Trading Platforms,Spot / Swaps,Application,,,,,Gemini Custody; Coinbase Custody; BitGo Custody; Zodia,balancer,bal,Balancer,5728,BAL,Balancer,balancer,bal,Balancer
ALPH,9985439,General Purpose Blockchain Networks,Smart Contract Platforms,,Blockchain Network,Layer 1,PoW,,,,alephium,alph,Alephium,14878,ALPH,Alephium,alephium,alph,Alephium
PROMPT,9874920,Blockchain Utilities & Tools,Interoperability,,Application,,,,,,wayfinder,prompt,Wayfinder,36223,PROMPT,Wayfinder,wayfinder,prompt,Wayfinder
OLAS,9691972,Blockchain Utilities & Tools,Developer Tools,Artificial Intelligence (Developer Tools),Application,,,,,Anchorage Digital,autonolas,olas,Autonolas,28458,OLAS,Autonolas,autonolas,olas,Autonolas
NTRN_REPLACED,9666293,Blockchain Utilities & Tools,Developer Tools,,Blockchain Network,Layer 1,Hybrid / Other (Layer 1),,,,neutron-3,ntrn,Neutron,26680,NTRN,Neutron,neutron-ntrn,ntrn,Neutron
ARPA,9598706,Decentralized Physical Infrastructure,Computation,Specific Purpose Compute,Application,,,,,Coinbase Custody,arpa,arpa,ARPA,4039,ARPA,ARPA,arpa-chain,arpa,ARPA
DEXT,9525789,Blockchain Utilities & Tools,Data & Analytics Providers,Data Indexing and Analysis,Application,,,,,Coinbase Custody,dextools,dext,DexTools,5866,DEXT,DEXTools,dextools,dext,DEXTools
AITECH,9487505,Decentralized Physical Infrastructure,Computation,Artificial Intelligence (DePIN),Application,,,BNB,,BitGo Custody,solidus-aitech,aitech,Solidus Ai Tech,19055,AITECH,Solidus Ai Tech,solidus-ai-tech,aitech,Solidus Ai Tech
SYN,9182445,Decentralized Finance,DeFi Infrastructure & Data,Bridges & Bridge Aggregators,Blockchain Network,Layer 2,Optimistic Rollup,,,BitGo Custody; Coinbase Custody,synapse-2,syn,Synapse,12147,SYN,Synapse,synapse-2,syn,Synapse
WOLF,9156033,Meme,,,Application,,,Ethereum,,,landwolf-0x67,wolf,LandWolf,30902,WOLF,Landwolf 0x67,landwolf-coin,wolf_landwolf0x67,Landwolf 0x67
GRIFFAIN,9146203,Blockchain Utilities & Tools,Developer Tools,Artificial Intelligence (Developer Tools),Application,,,Solana,,,griffain,griffain,GRIFFAIN,34792,GRIFFAIN,GRIFFAIN,griffain,griffain,GRIFFAIN
SCR,8801731,General Purpose Blockchain Networks,Smart Contract Platforms,,Blockchain Network,Layer 2,ZK Rollup,,,Anchorage Digital,scroll,scr,Scroll,26998,SCR,Scroll,scroll,scr,Scroll
ACS,8611935,"Media, Arts & Entertainment","Other (Media, Arts & Entertainment)",,Application,,,,,Anchorage Digital; Coinbase Custody,access-protocol,acs,Access Protocol,23195,ACS,Access Protocol,access-protocol,acs,Access Protocol
BOSON,8502073,Decentralized Finance,Trading Platforms,NFT Marketplaces,Application,,,,,Coinbase Custody,boson-protocol,boson,Boson,8827,BOSON,Boson Protocol,boson-protocol,boson,Boson Protocol
NOS,8326816,Decentralized Physical Infrastructure,Computation,Artificial Intelligence (DePIN),Application,,,Solana,,BitGo Custody,nosana,nos,Nosana,16612,NOS,Nosana,nosana,nos,Nosana
PYR,7820477,"Media, Arts & Entertainment",Gaming,Games,Application,,,,,BitGo Custody,vulcan-forged,pyr,Vulcan Forged,9308,PYR,Vulcan Forged (PYR),vulcan-forged-pyr,pyr,Vulcan Forged (PYR)
ATA,7146710,Blockchain Utilities & Tools,Identity & Authentication,,Blockchain Network,Layer 2,Optimistic Rollup,,,Coinbase Custody,automata,ata,Automata,10188,ATA,Automata Network,automata-network,ata,Automata Network
DNT,7105802,"Media, Arts & Entertainment","Other (Media, Arts & Entertainment)",,Application,,,,,,district0x,dnt,district0x,1856,DNT,district0x,district0x,dnt,district0x
FLIP,5157437,Decentralized Finance,Trading Platforms,Spot / Swaps,Blockchain Network,Layer 1,PoS,,,BitGo Custody,chainflip,flip,Chainflip,13268,FLIP,Chainflip,chainflip,flip,Chainflip
AI,2945403,"Media, Arts & Entertainment",Gaming,Games,Application,,,,,,sleepless-ai,ai,Sleepless AI,28846,AI,Sleepless AI,sleepless-ai,ai_sleeplessai,Sleepless AI
MAVIA,1801942,"Media, Arts & Entertainment",Gaming,Games,Application,,,,,,heroes-of-mavia,mavia,Heroes of Mavia,28829,MAVIA,Heroes of Mavia,heroes-of-mavia,mavia,Heroes of Mavia
$DOGE,,Meme,,,Application,,,Solana,,,department-of-government-efficiency,doge,Department Of Government Efficiency,32778,DOGE,Department Of Government Efficiency (dogegov.com),department-of-government-efficiency-token,dogegov,Department Of Government Efficiency (dogegov.com)
$MICHI,,Meme,,,Application,,,Solana,,,michicoin,$michi,michi,30943,$MICHI,michi (SOL),michi,michi,michi
$WEN,,Meme,,,Application,,,Solana,,BitGo Custody,wen-4,wen,Wen,29175,WEN,Wen,wen,wen_sol,Wen on Solana
0x0,,Blockchain Utilities & Tools,Privacy (Utilities & Tools),,Application,,,,,,0x0-ai-ai-smart-contract,0x0,0x0.ai: AI Smart Contract,23355,0x0,0x0.ai,0x0-ai-ai-smart-contract,0x0,0x0.ai: AI Smart Contract
AIDOGE,,Meme,,,Application,,,Arbitrum,,,arbdoge-ai,aidoge,ArbDoge AI,24477,AIDOGE,ArbDoge AI,arbdoge-ai,aidoge,ArbDoge AI
ALPHA,,Decentralized Finance,Managed Yield Services,Vaults,Application,,,,,BitGo Custody; Coinbase Custody,alpha-finance,alpha,Stella,7232,ALPHA,Stella,alpha-finance-lab,alpha,Stella
ATLAS,,"Media, Arts & Entertainment",Gaming,Games,Application,,,,,,star-atlas,atlas,Star Atlas,11212,ATLAS,Star Atlas,star-atlas,atlas,Star Atlas
AVA,,Blockchain Utilities & Tools,AI Agents,AI Agent,Application,,,Solana,,,ava-ai,ava,Ava AI,34116,AVA,AVA,ava-sol,avaai,Ava AI
AZERO,,General Purpose Blockchain Networks,Smart Contract Platforms,,Blockchain Network,Layer 1,,,,,aleph-zero,azero,Aleph Zero,11976,AZERO,Aleph Zero,aleph-zero,azero,Aleph Zero
BADGER,,Decentralized Finance,Managed Yield Services,Vaults,Application,,,,,Coinbase Custody; BitGo Custody,badger-dao,badger,Badger,7859,BADGER,Badger DAO,badger-dao,badger,Badger DAO
BAKE,,Decentralized Finance,Trading Platforms,Spot / Swaps,Application,,,,,,bakerytoken,bake,BakerySwap,7064,BAKE,BakeryToken,bakerytoken,bake,BakeryToken
BASEDAI,,Decentralized Physical Infrastructure,Computation,Artificial Intelligence (DePIN),Blockchain Network,Layer 1,Hybrid / Other (Layer 1),Ethereum,,,basedai,basedai,BasedAI,30584,BASEDAI,BasedAI,basedai,basedai,BasedAI
BLUE,,Decentralized Finance,Trading Platforms,Derivatives,Application,,,Sui,,,bluefin,blue,Bluefin,8724,BLUE,Bluefin,bluefin,blue,Bluefin
BLZ,,Decentralized Physical Infrastructure,Storage,File Storage,Blockchain Network,Layer 1,PoS,,,Coinbase Custody; Anchorage Digital,bluzelle,blz,Bluzelle,2505,BLZ,Bluzelle,bluzelle,blz,Bluzelle
BUZZ,,Blockchain Utilities & Tools,AI Agents,AI Agent,Application,,,Solana,,,hive-ai,buzz,Hive AI,35188,BUZZ,Hive AI,hive-ai,buzz,Hive AI
BZZ,,Decentralized Physical Infrastructure,Storage,File Storage,Application,,,,,BitGo Custody,swarm-bzz,bzz,Swarm,10293,BZZ,Swarm,ethereum-swarm,bzz,Swarm
CFG,,Decentralized Finance,Asset Origination and Issuance,Security Token Platforms,Blockchain Network,Layer 1,PoS,,,Anchorage Digital,centrifuge,cfg,Centrifuge [OLD],6748,CFG,Centrifuge,centrifuge,cfg,Centrifuge
CHEEL,,"Media, Arts & Entertainment",Social Networks,,Application,,,BNB,,,cheelee,cheel,Cheelee,23054,CHEEL,Cheelee,cheelee,cheel,Cheelee
COQ,,Meme,,,Application,,,,,,coq-inu,coq,Coq Inu,28675,COQ,Coq Inu,coq-inu,coq,Coq Inu
CTX,,Decentralized Finance,Trading Platforms,Derivatives,Application,,,,,Gemini Custody; BitGo Custody; Coinbase Custody,cryptex-finance,ctx,Cryptex Finance,10368,CTX,Cryptex Finance,cryptex-finance,ctx,Cryptex Finance
D,,Blockchain Utilities & Tools,Developer Tools,Artificial Intelligence (Developer Tools),Application,,,,,,dar-open-network,d,Dar Open Network,11374,D,DAR Open Network,mines-of-dalarnia,d,Dar Open Network
DAO,,Decentralized Finance,Asset Origination and Issuance,Launchpads & IDO Platforms,Application,,,,,BitGo Custody; Coinbase Custody,dao-maker,dao,DAO Maker,8420,DAO,DAO Maker,dao-maker,dao,DAO Maker
DATA,,Blockchain Utilities & Tools,Data & Analytics Providers,Data Indexing and Analysis,Application,,,,,BitGo Custody,streamr,data,Streamr,2143,DATA,Streamr,streamr,data,Streamr
DIMO,,Decentralized Physical Infrastructure,Sensor Networks,Mobility,Application,,,,,Coinbase Custody,dimo,dimo,DIMO,22837,DIMO,DIMO,dimo,dimo,DIMO
EVER,,General Purpose Blockchain Networks,Smart Contract Platforms,,Blockchain Network,Layer 1,PoS,,,BitGo Custody,everscale,ever,Everscale,7505,EVER,Everscale,everscale,ever,Everscale
FARM,,Decentralized Finance,Managed Yield Services,Vaults,Application,,,,,Coinbase Custody,harvest-finance,farm,Harvest Finance,6859,FARM,Harvest Finance,harvest-finance,farm,Harvest Finance
FIS,,Decentralized Finance,Managed Yield Services,Liquid Staking,Blockchain Network,Layer 1,PoS,,,Coinbase Custody,stafi,fis,Stafi,5882,FIS,StaFi,stafi,fis,StaFi
FOX,,Decentralized Finance,Trading Platforms,Spot / Swaps,Application,,,,,Coinbase Custody,shapeshift-fox-token,fox,ShapeShift FOX,8200,FOX,Shapeshift FOX Token,fox-token,fox,Shapeshift FOX Token
FWOG,,Meme,,,Application,,,Solana,,,fwog,fwog,Fwog,33291,FWOG,Fwog (SOL),fwog-solana,fwog,Fwog
GHST,,"Media, Arts & Entertainment",Gaming,Games,Application,,,,,,aavegotchi,ghst,Aavegotchi,7046,GHST,Aavegotchi,aavegotchi,ghst,Aavegotchi
GOG,,"Media, Arts & Entertainment",Gaming,Games,Application,,,,,BitGo Custody,guild-of-guardians,gog,Guild of Guardians,10630,GOG,Guild of Guardians,guild-of-guardians,gog,Guild of Guardians
GTC,,Blockchain Utilities & Tools,Other (Blockchain Utilities & Tools),,Application,,,,,BitGo Custody; Coinbase Custody,gitcoin,gtc,Gitcoin,10052,GTC,Gitcoin,gitcoin,gtc,Gitcoin
HIGH,,"Media, Arts & Entertainment",Metaverse,,Application,,,,,Coinbase Custody,highstreet,high,Highstreet,11232,HIGH,Highstreet,highstreet,high,Highstreet
HIPPO,,Meme,,,Application,,,Sui,,,sudeng,hippo,sudeng,33258,HIPPO,sudeng,sudeng,hippo,sudeng
HOOK,,"Media, Arts & Entertainment","Other (Media, Arts & Entertainment)",,Application,,,,,BitGo Custody,hooked-protocol,hook,Hooked Protocol,22764,HOOK,Hooked Protocol,hooked-protocol,hook,Hooked Protocol
HOPR,,Blockchain Utilities & Tools,Privacy (Utilities & Tools),,Application,,,,,Coinbase Custody,hopr,hopr,HOPR,6520,HOPR,HOPR,hopr,hopr,HOPR
IDEX,,Decentralized Finance,Trading Platforms,Derivatives,Application,,,,,Coinbase Custody; BitGo Custody,aurora-dao,idex,IDEX,3928,IDEX,IDEX,idex,idex,IDEX
KDA,,Decentralized Finance,Other (DeFi),,Blockchain Network,Layer 1,Hybrid / Other (Layer 1),,,,kadena,kda,Kadena,5647,KDA,Kadena,kadena,kda,Kadena
KIN,,Currency Networks,Settlement Network,,Application,,,Solana,,BitGo Custody,kin,kin,Kin,1993,KIN,Kin,kin,kin,Kin
KRL,,Decentralized Finance,Other (DeFi),,Application,,,,,Coinbase Custody,kryll,krl,KRYLL,2949,KRL,Kryll,kryll,krl,Kryll
LADYS,,Meme,,,Application,,,,,,milady-meme-coin,ladys,Milady Meme Coin,25023,LADYS,Milady Meme Coin,milady-meme-coin,ladys,Milady Meme Coin
LOFI,,Meme,,,Application,,,Sui,,,lofi-2,lofi,LOFI,34187,LOFI,LOFI,lofitheyeti,lofi,LOFI
LOKA,,"Media, Arts & Entertainment",Gaming,Games,Application,,,,,Anchorage Digital,league-of-kingdoms,loka,League of Kingdoms,17145,LOKA,League of Kingdoms Arena,league-of-kingdoms,loka,League of Kingdoms Arena
LOOKS,,Decentralized Finance,Trading Platforms,NFT Marketplaces,Application,,,,,BitGo Custody; Coinbase Custody,looksrare,looks,LooksRare,17081,LOOKS,LooksRare,looksrare,looks,LooksRare
LOOM,,General Purpose Blockchain Networks,Interchain Connectivity Platforms,,Blockchain Network,Layer 1,PoS,,,Coinbase Custody; BitGo Custody,loom-network-new,loom,Loom Network (NEW),2588,LOOM,Loom Network,loom-network,loom,Loom Network
MATH,,Blockchain Utilities & Tools,Wallets,,Application,,,,,Coinbase Custody,math,math,MATH,5616,MATH,MATH,math,math,MATH
MDT,,Blockchain Utilities & Tools,Data & Analytics Providers,Data Indexing and Analysis,Application,,,,,Coinbase Custody,measurable-data-token,mdt,Measurable Data,2348,MDT,Measurable Data Token,measurable-data-token,mdt,Measurable Data Token
MIGGLES,,Meme,,,Application,,,Base,,,mister-miggles,miggles,Mr. Miggles,32289,MIGGLES,Mr Miggles,mr-miggles,miggles,Mr Miggles
MNDE,,Decentralized Finance,Managed Yield Services,Liquid Staking,Application,,,Solana,,BitGo Custody,marinade,mnde,Marinade,13803,MNDE,Marinade,mnde,mnde,Marinade
MODE,,Decentralized Finance,DeFi Infrastructure & Data,,Blockchain Network,Layer 2,Optimistic Rollup,,,,mode,mode,Mode,31016,MODE,Mode,mode,mode,Mode
MONKY,,Meme,,,Application,,,BNB,,,wise-monkey,monky,Wise Monkey,34610,MONKY,Wise Monkey,wise-monkey,monky,Wise Monkey
MYRO,,Meme,,,Application,,,Solana,,,myro,$myro,Myro,28382,MYRO,Myro,myro,myro,Myro
MYTH,,"Media, Arts & Entertainment",Gaming,Gaming Infrastructure & Tooling,Blockchain Network,Sidechain,Parachain,,,Anchorage Digital,mythos,myth,Mythos,22125,MYTH,Mythos,mythos,myth,Mythos
NAVX,,Decentralized Finance,Lending & Borrowing,Crypto Based Lending Platforms,Application,,,Sui,,,navi,navx,NAVI Protocol,29296,NAVX,NAVI Protocol,navi-protocol,navx,NAVI Protocol
NEIROETH,,Meme,,,Application,,,,,,neiro-on-eth,neiro,Neiro on ETH,32461,NEIRO,Neiro Ethereum,neiro-eth,neiroeth,Neiro Ethereum
NKN,,Decentralized Physical Infrastructure,Sensor Networks,Wireless,Blockchain Network,Specialized Utility Layer,,,,Coinbase Custody,nkn,nkn,NKN,2780,NKN,NKN,nkn,nkn,NKN
NS,,Blockchain Utilities & Tools,Identity & Authentication,,Application,,,Sui,,BitGo Custody; Copper,suins-token,ns,SuiNS Token,32942,NS,Sui Name Service,sui-name-service,ns,SuiNS Token
ORAI,,Blockchain Utilities & Tools,Data & Analytics Providers,Artificial Intelligence (Data & Analytics Providers),Blockchain Network,Layer 1,PoS,,,BitGo Custody; Coinbase Custody,oraichain-token,orai,Oraichain,7533,ORAI,Oraichain,oraichain-token,orai,Oraichain
OX,,Decentralized Finance,Trading Platforms,Derivatives,Application,,,,,,ox-fun,ox,OX Coin,29530,OX,OX Coin,ox-coin,ox,OX Coin
PERP,,Decentralized Finance,Trading Platforms,Derivatives,Application,,,,,BitGo Custody; Coinbase Custody,perpetual-protocol,perp,Perpetual Protocol,6950,PERP,Perpetual Protocol,perpetual-protocol,perp,Perpetual Protocol
PIRATE,,"Media, Arts & Entertainment",Gaming,Games,Application,,,,,,pirate-token,pirate,Pirate Nation Token,31704,PIRATE,Pirate Nation,pirate-nation,pirate,Pirate Nation
PNG,,Decentralized Finance,Trading Platforms,Spot / Swaps,Application,,,,,BitGo Custody,pangolin,png,Pangolin,8422,PNG,Pangolin,pangolin,png,Pangolin
POLS,,Decentralized Finance,Asset Origination and Issuance,Launchpads & IDO Platforms,Application,,,,,Coinbase Custody,polkastarter,pols,Polkastarter,7208,POLS,Polkastarter,polkastarter,pols,Polkastarter
PORK,,Meme,,,Application,,,Ethereum,,,pepefork,pork,PepeFork,29220,PORK,PepeFork,pepefork,pork,PepeFork
PRCL,,Decentralized Finance,Trading Platforms,Diversified/Other Trading Platforms,Application,,,Solana,,,parcl,prcl,Parcl,30661,PRCL,Parcl,parcl,prcl,Parcl
PSP,,Decentralized Finance,Trading Platforms,Spot / Swaps,Application,,,,,Anchorage Digital; Coinbase Custody,paraswap,psp,ParaSwap,14534,PSP,ParaSwap,paraswap,psp,ParaSwap
QUICK,,Decentralized Finance,Trading Platforms,Spot / Swaps,Application,,,Polygon,,BitGo Custody; Coinbase Custody,quickswap,quick,Quickswap,19966,QUICK,Quickswap [New],quickswap-new,quick_new,Quickswap
RARI,,Decentralized Finance,Trading Platforms,NFT Marketplaces,Application,,,,,Coinbase Custody; BitGo Custody,rarible,rari,RARI,5877,RARI,Rarible,rarible,rari,RARI
REN,,Blockchain Utilities & Tools,Interoperability,,Application,,,,,Gemini Custody; Coinbase Custody,republic-protocol,ren,Ren,2539,REN,Ren,ren,ren,Ren
RETARDIO,,Meme,,,Application,,,Solana,,,retardio,retardio,RETARDIO,31921,RETARDIO,RETARDIO,retardio,retardio,RETARDIO
RSS3,,Blockchain Utilities & Tools,Data & Analytics Providers,Artificial Intelligence (Data & Analytics Providers),Blockchain Network,Specialized Utility Layer,,,,,rss3,rss3,RSS3,17917,RSS3,RSS3,rss3,rss3,RSS3
SAMO,,Meme,,,Application,,,Solana,,Gemini Custody,samoyedcoin,samo,Samoyedcoin,9721,SAMO,Samoyedcoin,samoyedcoin,samo,Samoyedcoin
SAROS,,Decentralized Finance,Trading Platforms,Spot / Swaps,Application,,,Solana,,,saros-finance,saros,Saros,29082,SAROS,Saros,saros,saros,Saros
SCA,,Decentralized Finance,Lending & Borrowing,Crypto Based Lending Platforms,Application,,,Sui,,,scallop-2,sca,Scallop,29679,SCA,Scallop,scallop-protocol,sca,Scallop
SEND,,Decentralized Finance,Lending & Borrowing,Crypto Based Lending Platforms,Application,,,Sui,,,suilend,send,Suilend,34611,SEND,Suilend,suilend,send,Suilend
SHDW,,Decentralized Physical Infrastructure,Storage,File Storage,Blockchain Network,Specialized Utility Layer,,Solana,,,genesysgo-shadow,shdw,Shadow Token,16868,SHDW,Shadow Token,genesysgo-shadow,shdw,Shadow Token
SKI,,Meme,,,Application,,,Base,,,ski-mask-dog,ski,Ski Mask Dog,31173,SKI,Ski Mask Dog,ski-mask-dog,ski,Ski Mask Dog
SLERF,,Meme,,,Application,,,Solana,,,slerf,slerf,Slerf [OLD],29920,SLERF,SLERF (OLD),slerf-old,slerf,SLERF
SPEC,,Decentralized Physical Infrastructure,Computation,Artificial Intelligence (DePIN),Application,,,Ethereum,,,spectral,spec,Spectral,32925,SPEC,Spectral,spectral,spec,Spectral
STRD,,Decentralized Finance,Managed Yield Services,Liquid Staking,Application,,,,,,stride,strd,Stride,21781,STRD,Stride,stride,strd,Stride
SUKU,,Blockchain Utilities & Tools,Wallets,,Application,,,,,Coinbase Custody,suku,suku,SUKU,6180,SUKU,Suku,suku,suku,SUKU
SUNDOG,,Meme,,,Application,,,Tron,,,sundog,sundog,Sundog,32717,SUNDOG,SUNDOG,sundog,sundog,SUNDOG
SWARMS,,Blockchain Utilities & Tools,Developer Tools,Artificial Intelligence (Developer Tools),Application,,,Solana,,,swarms,swarms,Swarms,34993,SWARMS,Swarms,swarms,swarms,Swarms
SWEAT,,"Media, Arts & Entertainment",Gaming,Games,Application,,,,,Coinbase Custody,sweatcoin,sweat,SWEAT,21351,SWEAT,SWEAT,sweat-economy,sweat,Sweat Economy
TARA,,General Purpose Blockchain Networks,Smart Contract Platforms,,Blockchain Network,Layer 1,Hybrid / Other (Layer 1),,,,taraxa,tara,Taraxa,8715,TARA,Taraxa,taraxa,tara,Taraxa
TKX,,Centralized Finance,Exchange,,Application,,,,,,tokenize-xchange,tkx,Tokenize Xchange,4715,TKX,Tokenize Xchange,tokenize-xchange,tkx,Token TKX
TLOS,,General Purpose Blockchain Networks,Smart Contract Platforms,,Blockchain Network,Layer 1,PoS,,,BitGo Custody,telos,tlos,Telos,4660,TLOS,Telos,telos,tlos,Telos
TOKE,,Decentralized Finance,Managed Yield Services,Vaults,Application,,,,,Gemini Custody,tokemak,toke,Auto Finance [OLD],11202,TOKE,Tokemak,tokemak,toke,Tokemak
TRU,,Decentralized Finance,Lending & Borrowing,Crypto Based Lending Platforms,Application,,,,,Coinbase Custody; BitGo Custody,truefi,tru,TrueFi,7725,TRU,TrueFi,truefi-token,tru,TrueFi
UTK,,Centralized Finance,Payment Solution & On-ramp / Off-ramp,,Application,,,,,BitGo Custody; Coinbase Custody,utrust,utk,Utrust,2320,UTK,xMoney,utrust,utk,xMoney (Old)
UXLINK,,"Media, Arts & Entertainment","Other (Media, Arts & Entertainment)",,Blockchain Network,Specialized Utility Layer,,,,BitGo Custody,uxlink,uxlink,UXLINK,32257,UXLINK,UXLINK,uxlink,uxlink,UXLINK
VOXEL,,"Media, Arts & Entertainment",Gaming,,Application,,,,,,voxies,voxel,Voxies,15678,VOXEL,Voxies,voxies,voxel,Voxies
WHY,,Meme,,,Application,,,BNB,,,why,why,WHY,30867,WHY,WHY,why,why,WHY
WOJAK,,Meme,,,Application,,,Ethereum,,,wojak,wojak,Wojak Coin,24502,WOJAK,Wojak (wojaketh),wojakold,wojak,Wojak
WUF,,Meme,,,Application,,,Solana,,,wuffi,wuf,WUFFI,30683,WUF,WUFFI,wuffi,wuf,WUFFI
XEM,,Centralized Finance,Other (Centralized Finance),,Blockchain Network,Layer 1,Hybrid / Other (Layer 1),,,Copper,nem,xem,NEM,873,XEM,NEM,nem,xem,NEM
YNE,,Blockchain Utilities & Tools,AI Agents,AI Agent,Application,,,Solana,,,yne,yne,yesnoerror,34854,YNE,yesnoerror,yesnoerror,yne,yesnoerror
ZBU,,Currency Networks,Settlement Network,,Application,,,,,BitGo Custody,zeebu,zbu,Zeebu,27765,ZBU,Zeebu,zeebu,zbu,Zeebu
ZEREBRO,,Blockchain Utilities & Tools,AI Agents,AI Agent,Application,,,Solana,,BitGo Custody,zerebro,zerebro,Zerebro,34083,ZEREBRO,Zerebro,zerebro,zerebro,Zerebro
ZRC,,Decentralized Finance,Other (DeFi),,Blockchain Network,Layer 2,Optimistic Rollup,,,Anchorage Digital,zircuit,zrc,Zircuit,29711,ZRC,Zircuit,zircuit,zrc,Zircuit
